word,meaning,pos,language_id,meaning_langauge_id,dictionary_id,created_at,updated_at
Absolute form quotient ,ನಿರಪೇಕ್ಷ ಆಕೃತಿ ಭಾಗಲಬ್ಧ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absolute growth rate ,ನಿರಪೇಕ್ಷ ಬೆಳವಣಿಗೆ ವೇಗ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absolute humidity ,ನಿರಪೇಕ್ಷ ಆರ್ದ್ರತೆ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absolute juice ,"ನಿರಾವಲಂಬ ರಸ, ನಿರಪೇಕ್ಷ ರಸ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absolute module ,ಸಮಗ್ರ ಅಳತೆ ಏಕಮಾನ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absolute water requirement ,ನಿರಪೇಕ್ಷ ನೀರು ಅಗತ್ಯತೆ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absorb ,"ಹೀರು, ಲೀನವಾಗು",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absorbability ,ಹೀರಿಕೊಳ್ಳುವ ಗುಣ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absorbance ,ಹೀರುವ ಗುಣ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absorbed water ,ಹೀರಿದ ನೀರು,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absorbent ,"ಹೀರುಕ, ಹೀರಿಕೊಳ್ಳುವ ವಸ್ತು",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absorbing power ,ಹೀರುಶಕ್ತಿ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absorption ,ಹೀರುವಿಕೆ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absorption coefficient ,ಹೀರಿಕೆ ಗುಣಕ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absorption loss ,ಹೀರಿಕೆ ನಷ್ಟ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absorption radiation ,ಹೀರಿಕೆ ವಿಕಿರಣ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
"Absorption, gross ",ಒಟ್ಟು ಹೀರಿಕೆ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
"Absorption, initial ",ಪ್ರಾರಂಭಿಕ ಹೀರಿಕೆ/ಅವಶೋಷಣ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
"Absorption, net ",ನಿವ್ವಳ ಹೀರಿಕೆ/ ಅವಶೋಷಣ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absorptive dust ,ಹೀರುಪುಡಿ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Absorptive soils ,ಹೀರಿಕೊಳ್ಳುವ ಮಣ್ಣುಗಳು,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abstergent ,ಶುಚಿಕಾರಕ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abundance of insect ,ಕೀಟಸಮೃದ್ಧತೆ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abutilon ,ಅಬ್ಯೂಟಿಲಾನ್ ಹೂವು,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abutment ,"ಊರೆ, ಆಧಾರ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Abutter ,ಪಕ್ಕದ ಜಮೀನಿನವನು,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
AC soil ,ಎಸಿ-ಸ್ತರದ ಮಣ್ಣು (ಬಿ-ಸ್ತರರಹಿತ),NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acacia catechu ,ಕಗ್ಗಲಿ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acacia species ,ಜಾಲಿ ಪ್ರಭೇದಗಳು,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acantha ,ಮುಳ್ಳು,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acanthesis ,ಕಂಟಕ ಬೇನೆ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acanthesis nigricens ,ಕಂಟಕಬೇನೆ ಚಿಪ್ಪು,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acapnia ,ರಕ್ತದಲ್ಲಿ ಇಂಗಾಲದಡೈಆಕ್ಸೈಡ್‌/ ಇಂಗಾಲಾಮ್ಲದ ಕೊರತೆ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acapsular ,"ಆಸಂಪುಟಿಕ, ಹೊದಿಕೆಯಿಲ್ಲದ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acardiac ,"ಹೃದಯಾಂಗವಿಲ್ಲದ, ಗುಂಡಿಗೆ ಹೊರಗಿನ, ರಕ್ತಕೋಶವಿಲ್ಲದ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acaricide ,ನುಶಿನಾಶಕ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acarid ,"ಉಣ್ಣಿ, ನುಸಿ, ಜೇಡರ ಜಾತಿಯ ಹುಳು",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acarology ,"ನುಶಿವಿಜ್ಞಾನ, ನುಶಿಶಾಸ್ತ್ರ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acarpellous ,ಅಂಡಕರಹಿತ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acarpous ,"ಬಂಜೆ, ಫಲಕೊಡದ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acaulescent ,"ಅಸ್ಥಂಬಿ, ಕಾಂಡರಹಿತ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accelerated erosion ,"ವೇಗೋತ್ಕರ್ಷಿತ ಕೋಚ್ಚಣೆ/ಸವಕಳಿ, ತ್ವರಿತಗತಿಯ ಸವಕಳಿ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accelerating force ,ವೇಗವರ್ಧಕ ಬಲ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acceleration ,"ವೇಗೋತ್ಕರ್ಷಣೆ, ವೇಗವರ್ಧನೆ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acceleration of development ,ಬೆಳವಣಿಗೆ ವೇಗೋತ್ಕರ್ಷಣೆ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acceleration phase ,ವೇಗವರ್ಧನ ಹಂತ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accelerator ,"ವೇಗೋತ್ಕರ್ಷಕ, ವೇಗವರ್ಧಕ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accentuation ,"ವೃದ್ಧಿಗೊಳಿಸುವಿಕೆ, ತೀವ್ರಗೊಳಿಸುವಿಕೆ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acceptability of feed ,ಪ್ರಾಣಿಗಳಿಗೆ ಮೇವು ಇಷ್ಟವಾಗುವಿಕೆ/ ಸ್ವೀಕಾರವಾಗುವಿಕೆ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acceptor ,"ಆದಾತವಸ್ತು, ಸ್ವೀಕರಿಸುವ ವಸ್ತು",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acceptor cell ,"ಗ್ರಾಹಿಕೋಶ, ಸ್ವೀಕಾರ ಕೋಶ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Access ,ಪ್ರವೇಶ ಮಾರ್ಗ ಲಭ್ಯತೆ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Access road ,ಪ್ರವೇಶ ಮಾರ್ಗ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
"Access, bilateral ",ದ್ವಿಪಾರ್ಶ್ವಿಕ/ಇಬ್ಬದಿ ಪ್ರವೇಶ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accessibility ,"ಪ್ರವೇಶ ಸಾಧ್ಯತೆ, ಸಿಗುವಿಕೆ, ಮಾರ್ಗವಿರುವಿಕೆ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accessible ,ಪ್ರವೇಶಸಾಧ್ಯ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accessory ,"ಸಾಧನ ಸಾಮಗ್ರಿ, ಸಹಾಯಕ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accessory bud ,"ಜೊತೆ ಮೊಗ್ಗು, ಅಧಿಕ ಮೊಗ್ಗು",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accessory cell ,"ಸಹಾಯಕ ಜೀವಕೋಶ, ಅನುಷಂಗಿಕ ಜೀವಕೋಶ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accessory coat ,ಉಪಪಟಲ(ಕಣ್ಣುಗುಡ್ಡೆಯ),NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accessory genital gland ,"ಉಪ ಜನನೇಂದ್ರಿಯ ಗ್ರಂಥಿ, ಅನುಷಂಗಿಕ ಗ್ರಂಥಿ, ಸಹಾಯಕ ಜನನೇಂದ್ರಿಯ ಗ್ರಂತಿ.",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accessory heart ,ಅನುಷಂಗಿ ಹೃದಯ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accessory ligament ,"ಹೆಚ್ಚಳಿಕೆ ತಂತುಗಟ್ಟು, ಹೆಚ್ಚುವರಿ/ ಅನುಷಂಗಿಕ ತಂತುಗಟ್ಟು",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accessory nerves ,ಅನುಷಂಗಿಕ/ಸಹಕಾರಿ ನರಗಳು,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accessory pigments ,ಅನುಷಂಗಿಕ ವರ್ಣದ್ರವ್ಯಗಳು,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accessory respiratory organ ,"ಅನುಷಂಗಿಕ ಶ್ವಾಸೇಂದ್ರಿಯ, ಸಹಾಯಕ ಶ್ವಾಸೇಂದ್ರಿಯ  ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accessory species ,ಅನುಷಂಗಿಕ/ಜೊತೆ ಪ್ರಭೇದಗಳು ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accessory system ,ಸಹಾಯಕ/ಅನುಷಂಗಿಕ ಪದ್ಧತಿ/ವ್ಯವಸ್ಥೆ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accidental error ,ಆಕಸ್ಮಿಕ ದೋಷ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accipitral ,"ತೀಕ್ಷ್ಣದೃಷ್ಟಿಯುಳ್ಳ, ಗಿಡುಗದೃಷ್ಟಿಯ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
"Acclimation, Acclimatizationtc ","ಹವಾಗುಣಕ್ಕೆ ಹೊಂದಿಕೆ, ಹವಾಮಾನಕ್ಕೆ ಒಗ್ಗಿಕೊಳ್ಳುವಿಕೆ/ ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ, ಹೊಸ ಪರಿಸರಕ್ಕೆ / ವಾತಾವರಣಕ್ಕೆ ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ.",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acclimatization value ,ಹವಾಮಾನಕ್ಕೆ ಒಗ್ಗುವಿಕೆ ಮೌಲ್ಯ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acclimatize ,"ಹೊಂದಿಸು, ಒಗ್ಗಿಸು/ಒಗ್ಗು",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accrescent ,"ಹೂಬಿಟ್ಟಮೇಲೆ ದೊಡ್ಡದಾಗಿ ಬೆಳೆಯುವ/ ಬೆಳೆಯುತ್ತಲೇ ಹೋಗುವ, ಪುಷ್ಟಾನಂತರ ಬೃಹತ್ ವೃದ್ಧಿ.",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accrete ,"ಸಹವೃದ್ಧಿತ, ಸಹಬೆಳೆದ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accretion ,ಅಂಗವೃದ್ಧಿ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accrose ,"ಸೂಜಿಯಾಕಾರದ, ಚೂಪಾದ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accumulate ,"ಸಂಚಯಿಸು, ಸಂಗ್ರಹಿಸು",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accumulated infiltration ,ಸಂಚಯಿತ ಬಸಿಯುವಿಕೆ ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accumulation of bodywaste ,ದೇಹದಿಂದ ವಿಸರ್ಜಕಗಳ ಸಂಚಯನ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accumulator ,"ಸಂಗ್ರಹಕೋಶ, ಸಂಗ್ರಾಹಕ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Accuracy ,"ನಿಖರತೆ, ಯಥಾರ್ಥತೆ, ಖಚಿತತೆ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acentric ,ಅಕೇಂದ್ರೀಯ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acephala ,ಚಂಡುರಹಿತ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acerbate ,"ಹುಳಿಬರಿಸು, ಹುದುಗುಬರಿಸು",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acervate ,ಗೊಂಚಲಾಗಿ ಬೆಳೆಯುವ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acervuloma ,"ಮಿದುಳಿನ ಉಸುಬುಗಂತಿ, ಜೊಂಪೆಗಂತಿ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acetonaemia ,ಆಮ್ಲರಕ್ತತೆ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acetone urea ,ಆಮ್ಲಿಯ ಮೂತ್ರ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Achene ,"ಹಣ್ಣಿನಂತೆ ತೋರುವ ಬೀಜ, ನಗ್ನ ಫಲ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Achilles tendon ,ಅಖಿಲೆಸ್ ಬಾಗುಪಟ್ಟಿ ಕಂಡರ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
"Achlamydeous, Achlamydy ","ಹೂದಳರಹಿತ, ಹೂದಳವಿಹೀನ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Achlorophyllous ,ಹರಿತ್ತುರಹಿತ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acholia ,ಪಿತ್ತರಸದ ಅಭಾವ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Achondroplasia ,ಮೆಲ್ಲೆಲು ರೂಪಗೇಡಿಕೆ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Achras sapota ,"ಚಿಕ್ಕು, ಸಪೋಟ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Achromat ,ಅವರ್ಣಕ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Achromatic ,ವರ್ಣರಹಿತ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Achromatic lens ,ವರ್ಣರಹಿತ ಮಸೂರ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Achyranthes aspera ,ಉತ್ತರಾಣಿ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acicular ,ಸೂಜಿಯಾಕಾರ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acid ,"ಆಮ್ಲ, ಹುಳಿ",NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acid anhydride ,ಅನಾರ್ದ್ರರೂಪದ ಆಮ್ಲ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
Acid base catalysis ,ಆಮ್ಲ ಪ್ರತ್ಯಾಮ್ಲ ವೇಗವರ್ಧಕ ಕ್ರಿಯೆ,NULL,2,1,5,5/18/2019 19:55:15,5/18/2019 19:55:15
